ID|date|time|Customer Name|amount|
20251114-075448,2025-11-14,07:54:48,Henok,18.49
20251114-080253|2025-11-14|08:02:53|aaaa|5.00
20251114-080649|2025-11-14|08:06:49|henok|5.00
20251114-081149|2025-11-14|08:11:49|Henok|42.98
20251114-082908|2025-11-14|08:29:08|Henok|46.11
20251114-083215|2025-11-14|08:32:15|Check|25.87
20251114-083829|2025-11-14|08:38:29|Henok|5.00
20251114-084140|2025-11-14|08:41:41|henok|5.00
20251119-114804|2025-11-19|11:48:04|john|27.99
20251119-134440|2025-11-19|13:44:40|is|22.99
8-20251119-135329|2025-11-19|13:53:29|is|18.49
9-20251120-095816|2025-11-20|09:58:16|bir|18.74
10-20251120-102154|2025-11-20|10:21:54|mafi|24.49
11-20251120-103607|2025-11-20|10:36:07|Hana|25.99
12-20251120-104541|2025-11-20|10:45:41|Chala|33.49
13-20251120-104644|2025-11-20|10:46:44|haaana|19.87
14-20251120-111652|2025-11-20|11:16:52|birkti|20.99
